Location,Date,WindSpeed,Precipitation,SnowFall,SnowDepth,tMax,tMin
"NY CITY CENTRAL PARK, NY US",2/14/2020,7.38,0,0,0,40,18
"NY CITY CENTRAL PARK, NY US",2/15/2020,4.92,0,0,0,31,14
"NY CITY CENTRAL PARK, NY US",2/16/2020,5.59,0,0,0,44,30
"NY CITY CENTRAL PARK, NY US",2/17/2020,5.14,0,0,0,51,38
"NY CITY CENTRAL PARK, NY US",2/18/2020,6.26,0,0,0,47,38
"NY CITY CENTRAL PARK, NY US",2/19/2020,7.38,0,0,0,48,32
"NY CITY CENTRAL PARK, NY US",2/20/2020,5.82,0,0,0,35,26
"NY CITY CENTRAL PARK, NY US",2/21/2020,5.37,0,0,0,35,20
"NY CITY CENTRAL PARK, NY US",2/22/2020,6.26,0,0,0,50,30
"NY CITY CENTRAL PARK, NY US",2/23/2020,4.47,0,0,0,56,39
"NY CITY CENTRAL PARK, NY US",2/24/2020,2.91,0,0,0,62,41
"NY CITY CENTRAL PARK, NY US",2/25/2020,3.8,0.14,0,0,53,46
"NY CITY CENTRAL PARK, NY US",2/26/2020,7.16,0,0,0,48,43
"NY CITY CENTRAL PARK, NY US",2/27/2020,12.75,0.4,0,0,43,31
"NY CITY CENTRAL PARK, NY US",2/28/2020,9.84,0,0,0,42,29
"NY CITY CENTRAL PARK, NY US",2/29/2020,8.72,0,0,0,35,25
"NY CITY CENTRAL PARK, NY US",3/1/2020,6.04,0,0,0,44,25
"NY CITY CENTRAL PARK, NY US",3/2/2020,6.49,0,0,0,58,40
"NY CITY CENTRAL PARK, NY US",3/3/2020,6.04,0.26,0,0,59,49
"NY CITY CENTRAL PARK, NY US",3/4/2020,10.29,0,0,0,56,45
"NY CITY CENTRAL PARK, NY US",3/5/2020,5.37,0,0,0,51,39
"NY CITY CENTRAL PARK, NY US",3/6/2020,7.61,0.37,0,0,45,37
"NY CITY CENTRAL PARK, NY US",3/7/2020,7.61,0,0,0,48,36
"NY CITY CENTRAL PARK, NY US",3/8/2020,6.71,0,0,0,59,35
"NY CITY CENTRAL PARK, NY US",3/9/2020,7.38,0,0,0,72,47
"NY CITY CENTRAL PARK, NY US",3/10/2020,7.61,0,0,0,65,54
"NY CITY CENTRAL PARK, NY US",3/11/2020,4.7,0,0,0,57,43
"NY CITY CENTRAL PARK, NY US",3/12/2020,5.14,0.03,0,0,50,43
"NY CITY CENTRAL PARK, NY US",3/13/2020,8.72,0.26,0,0,70,45
"NY CITY CENTRAL PARK, NY US",3/14/2020,7.38,0,0,0,57,43
"NY CITY CENTRAL PARK, NY US",3/15/2020,6.26,0,0,0,54,40
"NY CITY CENTRAL PARK, NY US",3/16/2020,8.95,0,0,0,45,33
"NY CITY CENTRAL PARK, NY US",3/17/2020,4.25,0.16,0,0,54,41
"NY CITY CENTRAL PARK, NY US",3/18/2020,4.47,0,0,0,54,41
"NY CITY CENTRAL PARK, NY US",3/19/2020,4.7,0.93,0,0,52,41
"NY CITY CENTRAL PARK, NY US",3/20/2020,5.82,0,0,0,77,47
"NY CITY CENTRAL PARK, NY US",3/21/2020,7.83,0,0,0,65,40
"NY CITY CENTRAL PARK, NY US",3/22/2020,10.07,0,0,0,45,33
"NY CITY CENTRAL PARK, NY US",3/23/2020,9.17,1.16,0,0,41,36
"NY CITY CENTRAL PARK, NY US",3/24/2020,6.71,0,0,0,55,36
"NY CITY CENTRAL PARK, NY US",3/25/2020,9.84,0.01,0,0,45,40
"NY CITY CENTRAL PARK, NY US",3/26/2020,4.47,0,0,0,60,38
"NY CITY CENTRAL PARK, NY US",3/27/2020,4.92,0,0,0,69,50
"NY CITY CENTRAL PARK, NY US",3/28/2020,7.38,0.45,0,0,54,44
"NY CITY CENTRAL PARK, NY US",3/29/2020,11.63,0.05,0,0,47,44
"NY CITY CENTRAL PARK, NY US",3/30/2020,4.7,0.04,0,0,52,41
"NY CITY CENTRAL PARK, NY US",3/31/2020,6.71,0.06,0,0,49,41
