Stock,Date,Open,High,Low,Close,Volume
GOOG,4/1/2020,1122,1129.689941,1097.449951,1105.619995,2344200
GOOG,4/2/2020,1098.26001,1126.859985,1096.400024,1120.839966,1964900
GOOG,4/3/2020,1119.015015,1123.540039,1079.810059,1097.880005,2313400
GOOG,4/6/2020,1138,1194.660034,1130.939941,1186.920044,2664700
GOOG,4/7/2020,1221,1225,1182.22998,1186.51001,2387300
GOOG,4/8/2020,1206.5,1219.069946,1188.160034,1210.280029,1975100
GOOG,4/9/2020,1224.079956,1225.569946,1196.734985,1211.449951,2175400
GOOG,4/13/2020,1209.180054,1220.51001,1187.598022,1217.560059,1739800
GOOG,4/14/2020,1245.089966,1282.069946,1236.930054,1269.22998,2470400
GOOG,4/15/2020,1245.609985,1280.459961,1240.400024,1262.469971,1671700
GOOG,4/16/2020,1274.099976,1279,1242.619995,1263.469971,2518100
GOOG,4/17/2020,1284.849976,1294.430054,1271.22998,1283.25,1949000
GOOG,4/20/2020,1271,1281.599976,1261.369995,1266.609985,1695500
GOOG,4/21/2020,1247,1254.27002,1209.709961,1216.339966,2153000
GOOG,4/22/2020,1245.540039,1285.613037,1242,1263.209961,2093100
GOOG,4/23/2020,1271.550049,1293.310059,1265.670044,1276.310059,1566200
GOOG,4/24/2020,1261.170044,1280.400024,1249.449951,1279.310059,1640400
GOOG,4/27/2020,1296,1296.150024,1269,1275.880005,1600600
GOOG,4/28/2020,1287.930054,1288.050049,1232.199951,1233.670044,2951300
GOOG,4/29/2020,1341.459961,1359.98999,1325.339966,1341.47998,3793600
GOOG,4/30/2020,1324.880005,1352.819946,1322.48999,1348.660034,2668900
